Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IZSPN20010,Aaptos simplex,Simple Horny Sponge,,SNR,Not Reviewed,GNR,,,,,,
IILEYM9250,Abagrotis apposita,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9160,Abagrotis baueri,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9370,Abagrotis brunneipennis,The Yankee Dart,,S3S4 (2020),Not Reviewed,G4 (1999),,,,,,
IILEYM9310,Abagrotis cupida,Cupid Dart Moth,,S2S4 (2020),Not Reviewed,G4 (1999),,,,,,
IILEYM9430,Abagrotis dickeli,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9230,Abagrotis discoidalis,,,S2S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9300,Abagrotis dodi,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9270,Abagrotis duanca,Dark Dart Moth,,S3S4 (2020),Not Reviewed,G4 (1987),,,,,,
IILEYM9010,Abagrotis erratica,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9440,Abagrotis forbesi,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9100,Abagrotis glenni,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9420,Abagrotis hermina,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9070,Abagrotis mirabilis,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
IILEYM9260,Abagrotis nanalis,Nanalis Dart Moth,,S3S4 (2020),Not Reviewed,G4 (1987),,,,,,
IILEYM9450,Abagrotis nefascia,Coastal Heathland Cutworm Moth,,S3S4 (2020),Not Reviewed,G4 (1999),,,,,,
IILEYM9150,Abagrotis orbis,Well-marked Cutworm Moth,,S3S4 (2020),Not Reviewed,G5 (2002),,,,,,
IILEYM9290,Abagrotis placida,,,S4S5 (2020),Not Reviewed,G5 (2017),,,,,,
IILEYM9240,Abagrotis pulchrata,,,S3S4 (2020),Not Reviewed,GNR,,,,,,
IILEYM9280,Abagrotis reedi,Reed's Dart Moth,,S4S5 (2020),Not Reviewed,G5 (2003),,,,,,
IILEYM9210,Abagrotis scopeops,,,S4S5 (2020),Not Reviewed,GNR,,,,,,
