"","score_spatial_density","score_spatial_lastupdate","score_spatial_climfreq","score_spatial_completeness","score_spatial_modeldisagree","total","cellID"
"1",1,1,0.976798143851508,1,0.871201745559917,0.969599977882285,1
"2",1,1,0.967517401392111,1,0.867024966055708,0.966908473489564,2
"3",1,1,0.967517401392111,1,0.892837095518186,0.97207089938206,3
"4",1,1,0.983758700696056,1,0.857874394887831,0.968326619116777,4
"5",1,1,0.983758700696056,1,0.762625428515186,0.949276825842248,5
"6",1,1,0.988399071925754,1,0.698684551451624,0.937416724675476,6
"7",1,1,0.965197215777262,1,0.684239714176413,0.929887385990735,7
"8",1,1,0.965197215777262,1,0.6592308224255,0.924885607640552,8
"9",1,1,0.923433874709977,1,0.614618091560539,0.907610393254103,9
"10",1,1,0.923433874709977,1,0.595158147594045,0.903718404460804,10
"11",1,1,0.923433874709977,1,0.611530995909706,0.906992974123937,11
"12",1,1,0.923433874709977,1,0.603189109811488,0.905324596904293,12
"13",1,1,0.851508120649652,1,0.581380364078069,0.886577696945544,13
"14",1,1,0.728538283062645,1,0.503259518683466,0.846359560349222,14
"15",1,1,0.835266821345708,1,0.447370190606243,0.85652740239039,15
"16",1,1,0.835266821345708,1,0.502246522312856,0.867502668731713,16
"17",1,1,0.835266821345708,1,0.580853526731053,0.883224069615352,17
"18",1,1,0.948955916473318,1,0.5909330493161,0.907977793157884,18
"19",1,1,0.835266821345708,1,0.509489103249897,0.868951184919121,19
"20",1,1,0.728538283062645,1,0.406330077711515,0.826973672154832,20
"21",0.630534539424878,0.0208333333333334,0.303944315545244,0.269859667168507,0.355905581720364,0.316215487438465,21
"22",0.630534539424878,0.0208333333333334,0.345707656612529,0.269859667168507,0.355685494304416,0.324524138168733,22
"23",1,1,0.303944315545244,1,0.377280307429082,0.736244924594865,23
"24",1,1,0.303944315545244,1,0.448531397563934,0.750495142621836,24
"25",1,1,0,1,0.510579140827825,0.702115828165565,25
"26",1,1,0,1,0.435755715702381,0.687151143140476,26
